"FlumeID_Time_Year","AWCD","R","H","E"
"24_5_2022",0.92925,27,3.18275785639752,0.117879920607316
"1_5_2022",1.05215625,28,3.20273339526316,0.114383335545113
"2_5_2022",0.9225,25,3.15382463752245,0.126152985500898
"3_5_2022",1.1228125,27,3.24262957072718,0.120097391508414
"4_5_2022",1.2105625,28,3.24480588002423,0.11588592428658
"5_5_2022",1.0671875,27,3.20357337944327,0.118650865905306
"6_5_2022",0.920375,25,3.14980113492029,0.125992045396811
"7_5_2022",1.15834375,27,3.2480803958024,0.120299273918608
"8_5_2022",1.10221875,27,3.20509734218047,0.118707308969647
"9_5_2022",0.9195,25,3.13206810676538,0.125282724270615
"10_5_2022",1.05184375,27,3.22080199753164,0.119288962871542
"11_5_2022",1.024,26,3.17920133053331,0.122276974251281
"12_5_2022",0.97775,28,3.22536479062032,0.115191599665012
"13_8_2022",0.9374375,28,3.23157276721873,0.115413313114955
"14_8_2022",0.97321875,27,3.19874870536895,0.118472174272924
"15_8_2022",0.91865625,28,3.18222498546839,0.113650892338157
"16_8_2022",0.91375,28,3.21986345533762,0.114995123404915
"17_8_2022",0.99815625,28,3.21484528237749,0.114815902942053
"18_8_2022",0.80490625,26,3.17911289250638,0.122273572788707
"19_8_2022",0.93978125,27,3.17835838247299,0.117716977128629
"20_8_2022",1.11453125,29,3.21824869525268,0.110974092939748
"21_8_2022",0.92434375,27,3.22154084905882,0.119316327742919
"22_8_2022",1.128875,29,3.25720670960024,0.112317472744836
"23_8_2022",1.0464375,28,3.18010478793907,0.113575170997824
"24_8_2022",0.92321875,29,3.21018979847561,0.110696199947435
"1_8_2022",0.99540625,26,3.1929530862438,0.122805887932454
"2_8_2022",1.20453125,27,3.20290113806468,0.11862596807647
"3_8_2022",0.924625,27,3.21534481372717,0.119086844952858
"4_8_2022",0.907,26,3.15508613105286,0.121349466578956
"5_8_2022",1.13084375,26,3.21287339773625,0.123572053759086
"6_8_2022",0.9684375,28,3.22340022997922,0.115121436784972
"7_8_2022",1.11725,27,3.17473291447711,0.117582700536189
"8_8_2022",1.06321875,25,3.15264688764577,0.126105875505831
"9_8_2022",0.94234375,27,3.20327149556155,0.118639685020798
"10_8_2022",0.87746875,27,3.20285478705936,0.118624251372569
"11_8_2022",0.94553125,25,3.1218696953644,0.124874787814576
"12_8_2022",0.88765625,25,3.13246065378477,0.125298426151391
"13_9_2022",0.807375,28,3.17652120395039,0.113447185855371
"14_9_2022",1.09578125,27,3.11305716678965,0.115298413584802
"15_9_2022",0.75409375,26,3.09437480537987,0.119014415591533
"16_9_2022",0.79409375,22,2.99284931862371,0.136038605391987
"17_9_2022",0.9301875,24,3.10047362493993,0.129186401039164
"18_9_2022",0.7566875,21,3.04489667865253,0.144995079935835
"19_9_2022",0.85425,29,3.24700078118413,0.111965544178763
"20_9_2022",0.9401875,26,3.17160141884308,0.121984669955503
"21_9_2022",0.96934375,26,3.16436985577293,0.121706532914343
"22_9_2022",0.85584375,27,3.19132695602065,0.118197294667431
"23_9_2022",1.07121875,28,3.20798757130669,0.114570984689525
"24_9_2022",1.05175,30,3.25563564184282,0.108521188061427
"1_9_2022",1.0069375,28,3.18914964039394,0.113898201442641
"2_9_2022",1.109,27,3.17397656745185,0.117554687683402
"3_9_2022",1.096625,26,3.18344403750905,0.12244015528881
"4_9_2022",0.73290625,23,3.10692936766428,0.135083885550621
"5_9_2022",0.95853125,22,3.00195422440436,0.136452464745653
"6_9_2022",0.89421875,20,2.96930885308779,0.148465442654389
"7_9_2022",0.84803125,26,3.15401794740013,0.121308382592313
"8_9_2022",1.15225,26,3.17710769625216,0.122196449855852
"9_9_2022",1.014625,23,3.08888078782253,0.134299164687936
"10_9_2022",1.000875,26,3.16398409242445,0.121691695862479
"11_9_2022",0.89975,24,3.06555530648033,0.127731471103347
"12_9_2022",1.01009375,25,3.13047680515704,0.125219072206281
"13_12_2022",0.83615625,25,3.11536476549532,0.124614590619813
"14_12_2022",0.9274375,27,3.16579736292053,0.117251754182242
"15_12_2022",0.81409375,25,3.15576175949689,0.126230470379876
"16_12_2022",1.056625,26,3.1591177879094,0.121504530304208
"17_12_2022",1.11809375,26,3.18717029989318,0.122583473072815
"18_12_2022",0.98221875,25,3.13518616267799,0.12540744650712
"19_12_2022",0.90534375,27,3.19913349807253,0.118486425854538
"20_12_2022",1.20340625,28,3.217885694289,0.11492448908175
"21_12_2022",1.07059375,25,3.17283616789675,0.12691344671587
"22_12_2022",0.86571875,25,3.1317313638646,0.125269254554584
"23_12_2022",1.10590625,27,3.16535234301706,0.117235271963595
"24_12_2022",0.8360625,25,3.13976076753582,0.125590430701433
"1_12_2022",0.95690625,26,3.13559400713119,0.120599769505046
"2_12_2022",1.09765625,27,3.18073250630534,0.117804907640939
"3_12_2022",0.9106875,25,3.14307439607662,0.125722975843065
"4_12_2022",1.08475,27,3.19552874119719,0.118352916340637
"5_12_2022",0.978,23,3.08084184760596,0.133949645548085
"6_12_2022",1.0248125,25,3.16269016545971,0.126507606618388
"7_12_2022",0.87259375,25,3.14770724702497,0.125908289880999
"8_12_2022",1.05325,25,3.10967103601587,0.124386841440635
"9_12_2022",0.88390625,24,3.15093908284013,0.131289128451672
"10_12_2022",1.00115625,29,3.21991022013638,0.111031386901254
"11_12_2022",0.88165625,23,3.02231538285933,0.131405016646058
"12_12_2022",0.9211875,25,3.16021594625755,0.126408637850302
"13_14_2022",0.81328125,26,3.11758168530855,0.119906987896483
"14_14_2022",1.0349375,27,3.17704194531125,0.117668220196713
"15_14_2022",0.93875,29,3.2391309511039,0.111694170727721
"16_14_2022",0.9425625,29,3.22217051727319,0.111109328181834
"17_14_2022",1.23709375,30,3.26461567713319,0.108820522571106
"18_14_2022",0.9598125,27,3.17416536361106,0.117561680133743
"19_14_2022",0.78225,27,3.17842058462951,0.117719280912204
"20_14_2022",1.10628125,30,3.23795376483708,0.107931792161236
"21_14_2022",0.8228125,26,3.15659716989525,0.121407583457509
"22_14_2022",1.037,30,3.22770527198863,0.107590175732954
"23_14_2022",0.973875,26,3.20212497250546,0.123158652788672
"24_14_2022",0.7495625,26,3.15534564729059,0.121359447972715
"1_14_2022",0.74746875,24,3.12339359162946,0.130141399651228
"2_14_2022",1.04325,26,3.18870649047729,0.12264255732605
"3_14_2022",0.6830625,23,3.16871345406431,0.137770150176709
"4_14_2022",1.07596875,25,3.17391154333552,0.126956461733421
"5_14_2022",1.03178125,26,3.16583598599935,0.121762922538437
"6_14_2022",0.9803125,26,3.18393273879151,0.122458951491981
"7_14_2022",1.06365625,29,3.26378655066765,0.112544363816126
"8_14_2022",1.1054375,28,3.24250041221872,0.115803586150669
"9_14_2022",0.98290625,26,3.1758135616135,0.122146675446673
"10_14_2022",0.8784375,25,3.11277374292878,0.124510949717151
"11_14_2022",0.91728125,25,3.10369535702257,0.124147814280903
"12_14_2022",0.92234375,26,3.1548828740349,0.121341649001342
"13_17_2022",0.77296875,28,3.24665261261829,0.115951879022082
"14_17_2022",0.68296875,28,3.24989348189932,0.116067624353547
"15_17_2022",0.69775,26,3.16533147388567,0.121743518226372
"16_17_2022",0.72875,26,3.1872925654662,0.122588175594854
"17_17_2022",1.01321875,27,3.22870219133279,0.119581562641955
"18_17_2022",0.9253125,27,3.23201042183511,0.119704089697597
"19_17_2022",0.8020625,24,3.10406003746782,0.129335834894492
"20_17_2022",0.85278125,25,3.14242178041753,0.125696871216701
"21_17_2022",0.71925,25,3.16645178666277,0.126658071466511
"22_17_2022",0.88290625,28,3.23486770550088,0.115530989482174
"23_17_2022",0.75025,27,3.17185518243906,0.117476117868113
"24_17_2022",0.7558125,24,3.10850584098215,0.12952107670759
"1_17_2022",1.04034375,28,3.20991337338378,0.114639763335135
"2_17_2022",0.90728125,25,3.14862552211214,0.125945020884485
"3_17_2022",0.76740625,22,3.03848670039398,0.13811303183609
"4_17_2022",0.75509375,22,3.06386769567848,0.139266713439931
"5_17_2022",0.91215625,22,3.03910377222366,0.138141080555621
"6_17_2022",0.83759375,24,3.1202704637501,0.130011269322921
"7_17_2022",0.8534375,26,3.13755013949943,0.120675005365363
"8_17_2022",0.78621875,21,3.05851138182237,0.145643399134399
"9_17_2022",0.99378125,26,3.13955556520062,0.120752137123101
"10_17_2022",0.86421875,25,3.15086370410688,0.126034548164275
"11_17_2022",0.9195625,25,3.18280474749084,0.127312189899633
"12_17_2022",0.94959375,29,3.30625125734959,0.114008664046538
"13_18_2022",0.7618125,27,3.213339612637,0.119012578245815
"14_18_2022",0.97421875,26,3.15191710609273,0.121227581003567
"15_18_2022",0.80321875,23,3.03229282537947,0.13183881849476
"16_18_2022",0.97971875,28,3.21817650961584,0.114934875343423
"17_18_2022",0.86371875,26,3.19831330582028,0.123012050223857
"18_18_2022",0.996125,28,3.27541797628433,0.116979213438726
"19_18_2022",0.81840625,27,3.16112042047803,0.117078534091779
"20_18_2022",0.72934375,23,3.11760793977407,0.135548171294525
"21_18_2022",0.86265625,27,3.13594988826702,0.116146292158038
"22_18_2022",0.84496875,24,3.08850168855806,0.128687570356586
"23_18_2022",0.7359375,25,3.13103194756219,0.125241277902488
"24_18_2022",0.9341875,28,3.19889024175444,0.114246080062659
"1_18_2022",0.82990625,24,3.13647055156085,0.130686272981702
"2_18_2022",0.87240625,27,3.19836309434661,0.118457892383208
"3_18_2022",0.8144375,26,3.16200931477474,0.121615742875952
"4_18_2022",0.935875,27,3.17878332536084,0.117732715754105
"5_18_2022",1.00246875,27,3.22158947904875,0.119318128853658
"6_18_2022",0.9746875,26,3.15012541402526,0.121158669770202
"7_18_2022",0.82025,27,3.20524143370384,0.118712645692735
"8_18_2022",0.8855,24,3.07764818502832,0.128235341042847
"9_18_2022",0.9845625,26,3.19264013126453,0.122793851202482
"10_18_2022",0.9621875,28,3.1801379047279,0.113576353740282
"11_18_2022",0.9703125,24,3.09936060898685,0.129140025374452
"12_18_2022",0.864,25,3.17674870362461,0.127069948144985
"13_22_2022",0.93478125,26,3.11081183901035,0.119646609192706
"14_22_2022",1.081375,29,3.24478822543846,0.11188924915305
"15_22_2022",0.852,27,3.20447603657556,0.118684297650947
"16_22_2022",1.05734375,29,3.25695268475483,0.112308713267408
"17_22_2022",1.03159375,29,3.24901807511586,0.112035106038478
"18_22_2022",0.8860625,26,3.16853332376877,0.121866666298799
"19_22_2022",0.9914375,27,3.15321985809812,0.116785920670301
"20_22_2022",0.88128125,25,3.16054321897726,0.126421728759091
"21_22_2022",0.845875,27,3.2080581652278,0.118816969082511
"22_22_2022",0.88753125,25,3.14932580983923,0.125973032393569
"23_22_2022",0.93496875,25,3.123589910672,0.12494359642688
"24_22_2022",0.91509375,25,3.14381218282504,0.125752487313002
"1_22_2022",1.210375,28,3.23669441010113,0.115596228932183
"2_22_2022",1.0086875,26,3.17314474887225,0.122044028802779
"3_22_2022",0.98071875,25,3.1677877214737,0.126711508858948
"4_22_2022",0.87084375,20,3.034633691863,0.15173168459315
"5_22_2022",1.1975,27,3.22858278806391,0.119577140298663
"6_22_2022",0.76628125,24,3.10954925814646,0.129564552422769
"7_22_2022",0.9405,25,3.14526747518556,0.125810699007422
"8_22_2022",0.93325,26,3.13142084621656,0.120439263316022
"9_22_2022",1.11415625,25,3.15916692636499,0.1263666770546
"10_22_2022",0.9371875,25,3.15132870583537,0.126053148233415
"11_22_2022",0.933875,24,3.07625365155695,0.12817723548154
"12_22_2022",0.83515625,24,3.1159461573347,0.129831089888946
