"FlumeID_Time_Year","AWCD","R","H","E"
"13_3_2022",1.06896875,27,3.17875969281306,0.117731840474558
"14_3_2022",1.1279375,26,3.16810608725857,0.12185023412533
"15_3_2022",1.0635,28,3.20090504012263,0.114318037147237
"16_3_2022",0.91884375,28,3.1747789295961,0.113384961771289
"17_3_2022",1.0481875,28,3.21493781369276,0.114819207631884
"18_3_2022",1.0718125,29,3.23501573478611,0.111552266716762
"19_3_2022",0.9241875,29,3.21474917338656,0.11085341977195
"20_3_2022",1.03646875,26,3.22657814707394,0.124099159502844
"21_3_2022",0.79896875,24,3.1373140503687,0.130721418765363
"22_3_2022",1.077625,29,3.24412817032911,0.111866488632038
"23_3_2022",1.1966875,28,3.24585132523622,0.115923261615579
"24_3_2022",1.05153125,27,3.2317861539522,0.119695783479711
"1_3_2022",1.0625625,28,3.22409550558912,0.115146268056754
"2_3_2022",1.1365625,27,3.2025889106967,0.118614404099878
"3_3_2022",0.91140625,27,3.22072813969564,0.119286227396135
"4_3_2022",1.09771875,28,3.22113876558704,0.115040670199537
"5_3_2022",1.04296875,28,3.20317161645598,0.114398986301999
"6_3_2022",1.19759375,29,3.27368802568196,0.112885793989033
"7_3_2022",1.14240625,29,3.29416673582526,0.113591956407768
"8_3_2022",1.15853125,28,3.21470168462082,0.114810774450744
"9_3_2022",1.0179375,28,3.20924742377168,0.114615979420417
"10_3_2022",1.01428125,25,3.19636566190939,0.127854626476376
"11_3_2022",1.156625,29,3.23546997350012,0.111567930120694
"12_3_2022",1.10528125,28,3.25389994065667,0.116210712166309
"13_5_2022",0.99059375,28,3.2301444807916,0.115362302885414
"14_5_2022",1.02696875,29,3.25369944020269,0.112196532420783
"15_5_2022",0.89890625,28,3.24554565872981,0.115912344954636
"16_5_2022",0.8201875,27,3.22463648323881,0.119430980860697
"17_5_2022",1.1495,31,3.29333532711304,0.10623662345526
"18_5_2022",0.9728125,30,3.29206215677713,0.109735405225904
"19_5_2022",0.99171875,28,3.24273434040434,0.115811940728726
"20_5_2022",0.9901875,27,3.21014526047699,0.118894268906555
"21_5_2022",0.958375,27,3.19886466335914,0.118476469013301
"22_5_2022",0.889375,27,3.20583074954967,0.118734472205543
"23_5_2022",1.05703125,28,3.25656146172827,0.116305766490295
